Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
外,wài,Adj,"outer, outside",门外有一只狗。,Mén wài yǒu yī zhī gǒu.,There is a dog outside the door.,外面下雪了，真漂亮。,"Wàimiàn xiàxuě le, zhēn piàoliang.","It’s snowing outside, it’s very pretty."
女,nǚ,Noun/Adj,"female, feminine",王铎是女生的名字吗？,Wáng duó shì nǚshēng de míngzì ma?,Is Wang Duo a girl's name?,你昨天跟女朋有去哪儿约会呢？,"Nǐ zuótiān gēn nǚ péng yǒu qù nǎ‘er
yuēhuì ne？",Did you have a date with your girlfriend?
它,tā,Pronoun,it,它三岁，名字叫小黑。,"Tā sān suì, míngzì jiào xiǎo hēi.","It's three years old, we call him Little Blackie.",这张椅子坏了，把它搬出去。,"Zhè zhāng yǐzi huài le, bǎ tā bān chūqù.","The chair is broken, take it out."
完,wán,Verb,to finish,我写完作业了。,Wǒ xiě wán zuòyèle.,I finished writing my homework.,这件事很急，我今天一定要做完。,"Zhè jiàn shì hěn jí, wǒ jīntiān yídìngyào zuò wán.","This is urgent, I have to finish it today."
宾馆,bīnguǎn,Noun,"hotel, guest house, lodge",师傅，我要去你好宾馆。,"Shīfù, wǒ yào qù nǐ hǎo bīnguǎn.","Master, I want to go to your hotel.",,,
对,duì,Prep,Correct,你是大卫，对吗？,"Nǐ shì dà wèi, duì ma?","You're David, right?",对了，他昨天告诉我他不来学校。,"Duìle, tā zuótiān gàosù wǒ tā bù lái xuéxiào.","By the way, he told me yesterday that he is not coming to school."
左边,zuǒbiān,Noun/Adj,"left, left side",我家的左边是银行。,Wǒjiā de zuǒbiān shì yínháng.,There's a bank on the left side of my house.,,,
往,wǎng,Prep,to,往前走，第二个路口左拐。,"Wǎng qián zǒu, dì èr gè lùkǒu zuǒ guǎi.",Go ahead and turn left at the second intersection.,请往这边走，有更多的商品可以看。,"Qǐng wǎng zhè biān zǒu, yǒu gèng duō de shāngpǐn kěyǐ kàn.","Please come this way, there are more products you can see."
您,nín,Pronoun,you (polite form),您好，这是我的名片。,"Nín hǎo, zhè shì wǒ de míngpiàn.","Hello, this is my business card.","今天下午我给您发送了一封邮件,不知道您收到了吗？","Jīntiān xiàwǔ wǒ gěi nín fāsòng le yì fēng yóujiàn, bù zhīdào nín shōudào
le ma ？",I sent you an email this afternoon. Don't know if you received or not?
手表,shǒubiǎo,Noun,"watch, a wristwatch",我的手表不见了。,Wǒ de shǒubiǎo bùjiànle.,I can't find my watch.,我不喜欢收藏手表。,Wǒ bù xǐhuan shōucáng shǒubiǎo.,I do not like collecting watches.
打篮球,dǎ lánqiú,Verb Object,to play basketball,星期天我都去公园打篮球。,Xīngqī tiān wǒ dōu qù gōngyuán dǎ lánqiú.,I'll to go to the park Sunday to play basketball.,你打篮球吗?,Nǐ dǎ lánqiú ma?,Do you play basketball?
找,zhǎo,Verb,to find,找您五毛，谢谢！,"Zhǎo nín wǔmáo, xièxiè!","Here are five cents back, thank you!","我忘了我的护照放在哪里，请帮我找一
找。","Wǒ wàng le wǒ de hùzhào fàng zài nǎlǐ, qǐng bāng wǒ zhǎo yì zhǎo.","I forgot where my passport was, please help me find it."
教室,jiàoshì,Noun,classroom,这间教室不大。,Zhè jiān jiàoshì bù dà.,This classroom is small.,教室里有二十个座位。,Jiàoshì lǐ yǒu èrshí ge zuòwèi.,There are twenty seats in the classroom.
早上,zǎoshang,Noun,morning,我早上六点起床。,Wǒ zǎoshang liù diǎn qǐchuáng.,I wake up at six in the morning.,明天早上我们要去故宫参观。,Míngtiān zǎoshàng wǒmen yào qù gùgōng cānguān.,We will go to the Forbidden city tomorrow morning.
晴,qíng,Adj,"clear, sunny",昨天是晴天。,Zuótiān shì qíngtiān.,Yesterday was sunny.,"晴天的时候，我喜欢到我家附近的公园
跑一跑。","Qíngtiān de shíhou, wǒ xǐhuan dào wǒjiā fùjìn de gōngyuán pǎo yī pǎo.",On sunny days I like to go running in the park near my home.
正在,zhèngzài,Adv,Is on,他正在睡觉。,Tā zhèngzài shuìjiào.,He's sleeping.,他正在争取出国念书的机会。,Tā zhèngzài zhēngqǔ chūguó niànshū de jīhuì.,He's striving for the chance to study abroad.
每,měi,Adj/Adv,"each, every",我每天喝茶。,Wǒ měitiān hē chá.,I drink tea every day.,每个周末我都会跟朋友去打球,Měi gè zhōumò wǒ dōu huì gēn péngyou qù dǎqiú,I play basketball with my friends every weekend.
比,bǐ,Prep,ratio,她不比我高。,Tā bùbǐ wǒ gāo.,She isn't taller than me.,你的家人都比你高吗？,Nǐ de jiārén dōu bǐ nǐ gāo ma?,Is your family all taller than you?
洗,xǐ,Verb,"to wash, to clean",吃饭前先洗手。,Chīfàn qián xiān xǐshǒu.,Wash your hands before eating.,"洗完菜以后，下一步就是准备放到锅子
里炒了。","Xǐ wán cài yǐhòu, xìa yí bù jiùshì zhǔnbèi fàng dào guōzi lǐ chǎo le.","After washing the vegetable, the next step is to cook it in the pan."
火车站,huǒchēzhàn,Noun,train station,我的酒店旁边有火车站。,Wǒ de jiǔdiàn pángbiān yǒu huǒchēzhàn.,There is a train station next to my hotel.,这间房子在火车站附近，所以很吵。,"Zhèjiān fángzi zài huǒchēzhàn fùjìn, suǒyǐ hěnchǎo.","The house is near the train station, so it is noisy."
玩,wán,Verb,"to play, to have fun, to hang out",我们常常一起去公园玩。,Wǒmen chángcháng yīqǐ qù gōngyuán wán.,We often go to the park to hang out together.,我觉得做饭很好玩儿。,Wǒ juéde zuòfàn hěn hǎowánēr.,I think cooking is fun.
男,nán,Noun/Adj,"man, male, masculine",请问男厕在哪儿？,Qǐngwèn nán cè zài nǎ'er?,Where is the male restroom?,我的男朋友现在在国外工作，我非常想他。,"Wǒ de nánpéngyou xiànzài zài guówài gōngzuò, wǒ fēicháng xiǎng
tā.","My boyfriend is working abroad, I miss him so much."
着,zhe,Adv,"an action currently happening , -ing",今天我哥哥背着昨天买的新背包。,Jīntiān wǒ gēgē bèizhe zuótiān mǎi de xīn bēibāo.,My brother is carrying the bag which he bought yesterday.,你知道那里挂着什么吗?,Nǐ zhīdào nàlǐ guàzhe shénme ma?,Do you know what is hanging there?
票,piào,Noun,ticket,我有两张电影票。,Wǒ yǒu liǎng zhāng diànyǐng piào.,I have two movie tickets.,中国的车票很便宜。,Zhōngguó de chēpiào hěn piányi.,Train tickets in China are very cheap.
离,lí,Adj/Adv,from,地铁站离学校三百公尺。,Dìtiě zhàn lí xuéxiào sānbǎi gōng chǐ.,The subway station is 300 meters from the school.,离我家最远的商店要走一小时。,Lí wǒ jiā zuì yuǎn de shāngdiàn yào zǒu yì xiǎoshí.,The most far away shop from my house take an hour by walking.
穿,chuān,Verb,"to wear, to dress",穿红色衣服的人是我哥哥。,Chuān hóngsè yīfú de rén shì wǒ gēgē.,The one wearing red is my older brother.,这件毛衣你穿起来一定很好看。,Zhè jiàn máoyī nǐ chuān qǐlái yídìng hěn hǎokàn.,This sweater you wear it must look good.
第一,dì yī,Adj,"the first, 1st, number one",小志每天都第一个到办公室的人。,Xiǎo zhì měitiān dū dì yī gè dào bàngōngshì de rén.,Xiao Zhi is the first person to the office every day.,"这是我的父母，他们第一次来这间餐
厅。","Zhè shì wǒ de fùmǔ, tāmen dì yī cì lái zhè jiān cāntīng.","They are my parents, it is their first time to come to this restaurant."
红,hóng,Adj,red,红色的杯子不是小锦的。,Hóngsè de bēizi bùshì Xiǎo Jǐn de.,The red cup is not Xiao Jin's.,那位戴红色的帽子的男生是我的弟弟。,Nà wèi dài hóngsè de màozi de nánshēng shì wǒ de dìdi.,That man who is wearing a red hat is my younger brother.
虽然…但是…,suīrán…dànshì…,Grammar,"However, although…","她的男朋友虽然胖，但是比你高得多
了！","Tā de nánpéngyou suīrán pàng, dànshì bǐ nǐ gāo de duō le!","Although her boyfriend is fat, he is much taller than you!","虽然他住在北京这么久了，但是还是会
迷路。","Suīrán tā zhù zài Běijīng zhème jiǔ le, dànshì háishì huì mílù.","Although he lives in Beijing for a long time, but he still gets lost ."
西瓜,xīguā,Noun,watermelon,我要去买西瓜汁，你去不去？,"Wǒ yào qù mǎi xīguā zhī, nǐ qù bù qù?","I'm going to buy watermelon juice, do you wanna go?",,,
让,ràng,Verb,"to let, make, allow, cause",他常常忘东忘西，让妈妈很生气。,"Tā chángcháng wàng dōng wàng xī , ràng māma hěn shēngqì.","He often forgets things, making his mother angry.","这个工作不轻松,让我从早忙到晚。","Zhège gōngzuò bù qīngsōng, ràng wǒ cóng zǎo máng dào wǎn .","This job is not easy, it has me busy from morning to evening."
贵,guì,Adj,expensive,这件衣服都很贵，但是质量很好。,"Zhè jiàn yīfú dōu hěn guì, dànshì zhìliàng hěn hǎo.","This piece of clothing is expensive, but the quality is great.",这个东西真贵。,Zhège dōngxi zhēn guì.,This thing is really expensive.
跑步,pǎobù,Verb Object,to run,我每天跑步六十分钟。,Wǒ měitiān pǎobù liùshí fēnzhōng.,I run for sixty minutes a day.,你跑步时听音乐吗？,Nǐ pǎobù shí tīng yīnyuè ma?,Do you listen to music when you go jogging?
踢足球,tīzúqiú,Verb Object,to play soccer,他不会踢足球，但是喜欢看足球比赛。,"Tā bù huì tīzúqiú, dànshì xǐhuān kàn zúqiú bǐsài.","He doesn't play soccer, but likes to watch soccer matches.","他踢足球的技术进步多了，跟三年前完
全不一样。","Tā tīzúqiú de jìshù jìnbù duō le ，gēn
sān nián qián wánquán bù yíyàng.","He plays football with much better technique, unlike three years ago."
还,hái,Adj/Adv,"also, or",这件裤子还有别的颜色吗？,Zhè jiàn kù zǐ hái yǒu bié de yánsè ma?,Do you have this pair of pants in other colors?,你想住在山上还是海边？,Nǐ xiǎng zhù zài shānshàng háishì hǎibiān?,Do you want to live in the mountains or along the seaside?
进,jìn,Verb,to enter,请进，请坐。,"Qǐng jìn, qǐng zuò.","Come in, have a seat.","我的房东常常自己开门进来，我该怎么
办？","Wǒ de fángdōng chángcháng zìjǐ kāimén jìnlái, wǒ gāi zěnmebàn?","My landlord often opens my door and gets in my room, what can I do?"
铅笔,qiānbǐ,Noun,pencil,可以借我一支铅笔吗？,Kěyǐ jiè wǒ yī zhī qiānbǐ ma?,Can I borrow a pencil?,,,
错,cuò,Noun/Verb,"wrong, to wrong, to err, error, mistake",这个字我写错了。,Zhège zì wǒ xiě cuòle.,I wrote this character incorrectly.,我写错他家的地址了，所以他没有收到信。,"Wǒ xiě cuò tā jiā de dìzhǐ le, suǒyǐ tā méiyǒu shōudào xìn.","I wrote the address of his home wrong, so he did not receive the
letter."
门,mén,Noun,door,清关门，谢谢。,"Qīng guānmén, xièxiè.","Please shut the door, thank you.",门外有一只狗。,Mén wài yǒu yī zhī gǒu.,There is a dog outside the door.
问,wèn,Verb,"to ask, to inquire",有没有问题？,Yǒu méiyǒu wèntí?,Any questions?,"你去服务台问一问，有没有人看见你的
钱包。","Nǐ qù fúwùtái wèn yí wèn, yǒu méiyǒu rén kànjiàn nǐ de qiánbāo.",You go to the desk to ask to see if anyone has seen your wallet.
阴,yīn,Adj,cloudy,这个星期每天都是阴天。,Zhège xīngqī měitiān dū shì yīn tiān.,This week is cloudy every day.,明天不会下雨，是阴天。,"Míngtiān bú huì xià yǔ, shì yīn tiān.","It won’t rain tomorrow, it will be a cloudy day."
雪,xuě,Noun,snow,你看，下雪了。,"Nǐ kàn, xiàxuě le.","You see, it's snowing。",外面下雪了，真漂亮。,"Wàimiàn xiàxuě le, zhēn piàoliang.","It’s snowing outside, it’s very pretty."
零,líng,Numeral,zero,今年是二零一七年。,Jīnnián shì èr líng yīqī nián.,This year it is 2017.,谁能想到他二零一一年的时候竟然意外死亡了。,"Shéi néng xiǎngdào tā èr líng yīyī nián de shíhòu jìngrán yìwài
sǐwángle.","Who would've thought that in two thousand and eleven he would
accidentally die?"
面条,miàntiáo,Noun,noodles,面条是我们的主食。,Miàntiáo shì wǒmen de zhǔshí.,Noodles are one of our staple foods.,"我在中国上学的时候，特别喜欢吃面
条。","Wǒ zài Zhōngguó shàngxué de shíhou, tèbié xǐhuan chī miàntiáo.","When I studied in China, I really enjoyed eating noodles."
黑,hēi,Adj,black,我喜欢这件黑色的衣服。,Wǒ xǐhuān zhè jiàn hēisè de yīfú.,I like this black dress.,这个电影是黑色幽默类型的电影。,Zhège diànyǐng shì hēisè yōumò lèixíng de diànyǐng.,This movie is a dark comedy type.
